staff_id,department,current_role,current_skills,target_department,target_role,required_skills,seniority_years,recent_training_hours,performance_rating,avg_salary_usd,recent_ot_hours
STF-00020,Credit & Lending,Credit Analyst,"data_analytics,loan_underwriting,aml_compliance",Digital & IT,Digital Banking Officer,"it_support,cybersecurity",0.3,19.0,4,613.37,3.8
STF-00021,Compliance & Risk,Compliance Officer,"credit_risk,leadership",Compliance & Risk,Compliance Officer,"cybersecurity,leadership,credit_risk",5.3,19.0,3,567.45,4.2
STF-00022,Retail Banking,Branch Supervisor,"customer_service,sales_advisory,branch_management,teller_ops",Retail Banking,Teller,"teller_ops,branch_management,sales_advisory",8.2,12.0,3,928.66,11.4
STF-00023,Private & Wealth,Wealth Advisor,"customer_service,leadership,wealth_management,sales_advisory,loan_underwriting",Credit & Lending,Loan Officer,"aml_compliance,data_analytics",5.2,16.0,3,499.25,4.6
STF-00024,Digital & IT,IT Support Analyst,"digital_banking,it_support,data_analytics",Digital & IT,IT Support Analyst,"it_support,cybersecurity,digital_banking",6.1,16.0,4,761.32,7.8
STF-00025,Compliance & Risk,Risk Analyst,"credit_risk,cybersecurity,customer_service",Treasury & Markets,Treasury Analyst,"treasury_ops,forex_ops,data_analytics,branch_management",2.3,21.0,2,751.53,6.8
STF-00026,Credit & Lending,Lending Manager,"aml_compliance,credit_risk,loan_underwriting,customer_service",Credit & Lending,Credit Analyst,"data_analytics,aml_compliance,loan_underwriting,cybersecurity",5.4,22.0,4,874.04,11.9
STF-00027,Credit & Lending,Credit Analyst,"data_analytics,loan_underwriting,aml_compliance,it_support",Credit & Lending,Loan Officer,"credit_risk,loan_underwriting,aml_compliance,leadership",5.4,23.0,3,593.67,3.6
STF-00028,Compliance & Risk,Compliance Officer,"leadership,credit_risk",Private & Wealth,Relationship Manager,"leadership,wealth_management,customer_service,it_support",1.1,19.0,3,717.38,3.0
STF-00029,Credit & Lending,Credit Analyst,"loan_underwriting,credit_risk,data_analytics",Compliance & Risk,Risk Analyst,"credit_risk,leadership,aml_compliance,treasury_ops",6.6,14.0,4,607.3,11.8
STF-00030,Digital & IT,Systems Administrator,"cybersecurity,data_analytics,digital_banking,it_support",Credit & Lending,Underwriter,"aml_compliance,credit_risk",5.8,16.0,3,576.68,9.7
STF-00031,Retail Banking,Customer Service Rep,"customer_service,teller_ops,sales_advisory,branch_management,data_analytics",Retail Banking,Branch Supervisor,"branch_management,customer_service,sales_advisory",1.7,7.0,3,594.64,3.8
STF-00032,Private & Wealth,Wealth Advisor,"customer_service,sales_advisory,loan_underwriting",Private & Wealth,Wealth Advisor,"leadership,sales_advisory",2.3,25.0,3,809.66,3.5
STF-00033,Retail Banking,Customer Service Rep,"customer_service,teller_ops,forex_ops",Retail Banking,Branch Supervisor,"sales_advisory,teller_ops,leadership",7.6,18.0,2,824.65,2.2
STF-00034,Digital & IT,Systems Administrator,"it_support,cybersecurity,digital_banking,data_analytics,leadership",Retail Banking,Customer Service Rep,"teller_ops,sales_advisory,branch_management,digital_banking",0.4,18.0,3,708.19,12.6
STF-00035,Retail Banking,Branch Supervisor,"branch_management,sales_advisory,teller_ops,customer_service,cybersecurity",Treasury & Markets,Markets Associate,"data_analytics,credit_risk,customer_service",2.5,23.0,2,808.2,6.6
STF-00036,Compliance & Risk,Risk Analyst,"cybersecurity,aml_compliance",Digital & IT,IT Support Analyst,"cybersecurity,it_support",1.9,18.0,3,671.88,6.6
STF-00037,Compliance & Risk,AML Investigator,"credit_risk,cybersecurity,aml_compliance,leadership",Compliance & Risk,Risk Analyst,"aml_compliance,leadership,treasury_ops",2.5,21.0,4,415.9,2.8
STF-00038,Compliance & Risk,AML Investigator,"leadership,cybersecurity",Compliance & Risk,AML Investigator,"leadership,aml_compliance",6.3,13.0,3,896.58,7.0
STF-00039,Retail Banking,Teller,"branch_management,sales_advisory,customer_service",Treasury & Markets,Treasury Analyst,"forex_ops,data_analytics,credit_risk",5.3,18.0,3,676.32,7.1
STF-00040,Compliance & Risk,AML Investigator,"aml_compliance,leadership,credit_risk,cybersecurity,teller_ops",Compliance & Risk,AML Investigator,"cybersecurity,credit_risk",8.1,14.0,3,1049.55,5.8
STF-00041,Compliance & Risk,Risk Analyst,"aml_compliance,credit_risk",Private & Wealth,Relationship Manager,"leadership,sales_advisory,credit_risk",5.6,16.0,4,810.47,9.3
STF-00042,Credit & Lending,Credit Analyst,"aml_compliance,loan_underwriting,credit_risk,data_analytics,digital_banking",Private & Wealth,Private Banker,"customer_service,sales_advisory,wealth_management,branch_management",2.5,10.0,4,672.99,4.1
STF-00043,Credit & Lending,Credit Analyst,"credit_risk,data_analytics,loan_underwriting",Credit & Lending,Lending Manager,"credit_risk,data_analytics",6.5,12.0,2,625.81,0.0
STF-00044,Digital & IT,Digital Banking Officer,"it_support,digital_banking,data_analytics,cybersecurity,branch_management",Digital & IT,IT Support Analyst,"it_support,cybersecurity",1.9,17.0,2,710.68,10.5
STF-00045,Retail Banking,Customer Service Rep,"sales_advisory,customer_service",Retail Banking,Customer Service Rep,"sales_advisory,teller_ops,customer_service",8.7,15.0,3,1159.08,13.8
STF-00046,Retail Banking,Branch Officer,"branch_management,teller_ops,sales_advisory,it_support",Treasury & Markets,FX Dealer,"treasury_ops,data_analytics,forex_ops",8.0,14.0,4,861.85,5.5
STF-00047,Digital & IT,Systems Administrator,"digital_banking,it_support,treasury_ops",Treasury & Markets,Treasury Analyst,"credit_risk,data_analytics,forex_ops,loan_underwriting",5.3,24.0,2,633.52,2.7
STF-00048,Credit & Lending,Underwriter,"credit_risk,data_analytics,loan_underwriting,aml_compliance",Digital & IT,Digital Banking Officer,"digital_banking,data_analytics,it_support",4.7,18.0,2,1040.92,0.0
STF-00049,Retail Banking,Branch Supervisor,"customer_service,sales_advisory,branch_management,forex_ops",Private & Wealth,Wealth Advisor,"customer_service,sales_advisory,leadership,cybersecurity",4.6,18.0,4,756.72,0.0
STF-00050,Treasury & Markets,Markets Associate,"credit_risk,treasury_ops,customer_service",Credit & Lending,Lending Manager,"credit_risk,aml_compliance",3.2,17.0,4,747.66,5.1
STF-00051,Private & Wealth,Relationship Manager,"wealth_management,sales_advisory,customer_service,leadership",Digital & IT,IT Support Analyst,"digital_banking,it_support,data_analytics",2.0,15.0,3,699.36,3.4
STF-00052,Private & Wealth,Private Banker,"leadership,customer_service,sales_advisory,data_analytics",Private & Wealth,Relationship Manager,"leadership,sales_advisory",6.9,20.0,2,610.96,10.6
STF-00053,Treasury & Markets,Markets Associate,"forex_ops,credit_risk,data_analytics,treasury_ops",Treasury & Markets,Markets Associate,"treasury_ops,data_analytics,credit_risk",7.3,20.0,4,849.89,4.5
STF-00054,Credit & Lending,Lending Manager,"data_analytics,credit_risk,aml_compliance,loan_underwriting",Compliance & Risk,AML Investigator,"leadership,aml_compliance",9.0,16.0,3,886.53,4.2
STF-00055,Digital & IT,Digital Banking Officer,"it_support,data_analytics,digital_banking,forex_ops",Digital & IT,Systems Administrator,"cybersecurity,it_support",8.5,19.0,2,948.11,6.2
STF-00056,Digital & IT,Systems Administrator,"cybersecurity,data_analytics,digital_banking,it_support,sales_advisory",Digital & IT,Systems Administrator,"cybersecurity,digital_banking,aml_compliance",1.9,16.0,4,577.0,2.9
STF-00057,Retail Banking,Branch Supervisor,"sales_advisory,branch_management",Retail Banking,Branch Supervisor,"teller_ops,customer_service,sales_advisory",6.3,24.0,2,795.85,6.2
STF-00058,Treasury & Markets,Treasury Analyst,"data_analytics,credit_risk,treasury_ops,forex_ops",Treasury & Markets,FX Dealer,"data_analytics,credit_risk",5.9,14.0,3,873.27,15.8
STF-00059,Digital & IT,IT Support Analyst,"digital_banking,cybersecurity,data_analytics,it_support",Treasury & Markets,FX Dealer,"forex_ops,credit_risk,digital_banking",2.0,15.0,3,734.3,7.3
STF-00060,Retail Banking,Teller,"teller_ops,branch_management,customer_service,sales_advisory,treasury_ops",Retail Banking,Teller,"teller_ops,sales_advisory,branch_management",4.3,19.0,4,889.95,6.5
STF-00061,Retail Banking,Branch Officer,"customer_service,sales_advisory,teller_ops,branch_management",Treasury & Markets,Treasury Analyst,"data_analytics,credit_risk",2.4,24.0,3,689.95,6.6
STF-00062,Digital & IT,Digital Banking Officer,"digital_banking,it_support,data_analytics",Compliance & Risk,AML Investigator,"cybersecurity,credit_risk,aml_compliance,data_analytics",1.1,18.0,3,709.49,4.4
STF-00063,Credit & Lending,Loan Officer,"loan_underwriting,credit_risk,data_analytics",Private & Wealth,Wealth Advisor,"leadership,sales_advisory,wealth_management,data_analytics",2.3,20.0,3,839.94,12.9
STF-00064,Treasury & Markets,Markets Associate,"data_analytics,forex_ops,credit_risk",Treasury & Markets,Markets Associate,"treasury_ops,credit_risk,data_analytics",1.0,22.0,1,809.62,11.2
STF-00065,Digital & IT,Systems Administrator,"data_analytics,cybersecurity",Private & Wealth,Wealth Advisor,"sales_advisory,customer_service,branch_management",3.4,16.0,3,795.66,5.9
STF-00066,Compliance & Risk,Compliance Officer,"cybersecurity,credit_risk",Treasury & Markets,Markets Associate,"credit_risk,forex_ops",9.6,12.0,3,808.83,13.2
STF-00067,Compliance & Risk,Compliance Officer,"cybersecurity,aml_compliance,leadership,credit_risk,it_support",Compliance & Risk,Compliance Officer,"cybersecurity,credit_risk",5.3,20.0,3,895.28,9.4
STF-00068,Retail Banking,Teller,"teller_ops,branch_management",Retail Banking,Teller,"teller_ops,sales_advisory,customer_service,loan_underwriting",3.4,11.0,2,758.45,1.7
STF-00069,Compliance & Risk,Risk Analyst,"aml_compliance,leadership,credit_risk,teller_ops",Private & Wealth,Private Banker,"customer_service,leadership",0.9,27.0,4,734.67,11.2
STF-00070,Digital & IT,IT Support Analyst,"cybersecurity,digital_banking,data_analytics",Digital & IT,IT Support Analyst,"digital_banking,data_analytics,it_support",3.3,16.0,5,801.04,7.5
STF-00071,Private & Wealth,Private Banker,"wealth_management,customer_service,sales_advisory,leadership",Private & Wealth,Relationship Manager,"leadership,wealth_management",3.4,21.0,2,511.28,2.4
STF-00072,Treasury & Markets,FX Dealer,"data_analytics,forex_ops,credit_risk",Treasury & Markets,FX Dealer,"credit_risk,treasury_ops,forex_ops",0.8,25.0,2,847.18,11.5
STF-00073,Retail Banking,Customer Service Rep,"sales_advisory,teller_ops,customer_service",Retail Banking,Branch Officer,"sales_advisory,customer_service",6.2,18.0,3,666.33,7.3
STF-00074,Digital & IT,Digital Banking Officer,"cybersecurity,digital_banking",Digital & IT,Digital Banking Officer,"it_support,digital_banking",0.5,20.0,2,925.27,1.0
STF-00075,Treasury & Markets,Treasury Analyst,"treasury_ops,credit_risk,leadership",Compliance & Risk,Compliance Officer,"credit_risk,leadership",2.7,12.0,3,735.4,4.1
STF-00076,Digital & IT,IT Support Analyst,"it_support,data_analytics,credit_risk",Digital & IT,IT Support Analyst,"data_analytics,cybersecurity,it_support",4.4,18.0,3,632.13,6.4
STF-00077,Compliance & Risk,Compliance Officer,"aml_compliance,leadership,cybersecurity",Compliance & Risk,Compliance Officer,"leadership,cybersecurity,aml_compliance,loan_underwriting",3.8,22.0,3,819.16,6.6
STF-00078,Compliance & Risk,Compliance Officer,"leadership,cybersecurity",Retail Banking,Teller,"customer_service,sales_advisory,data_analytics",5.2,26.0,2,874.79,4.4
STF-00079,Retail Banking,Branch Supervisor,"branch_management,teller_ops,sales_advisory,loan_underwriting",Retail Banking,Customer Service Rep,"branch_management,customer_service",8.6,13.0,5,865.33,12.5
STF-00080,Private & Wealth,Wealth Advisor,"leadership,customer_service,wealth_management,cybersecurity",Private & Wealth,Relationship Manager,"sales_advisory,wealth_management",6.4,24.0,4,787.33,8.2
STF-00081,Credit & Lending,Credit Analyst,"aml_compliance,credit_risk",Private & Wealth,Private Banker,"wealth_management,customer_service,sales_advisory",5.3,18.0,3,822.02,7.6
STF-00082,Retail Banking,Branch Officer,"sales_advisory,teller_ops",Retail Banking,Teller,"customer_service,teller_ops,branch_management",4.3,14.0,3,895.43,4.8
STF-00083,Retail Banking,Branch Officer,"branch_management,sales_advisory,customer_service,teller_ops",Retail Banking,Branch Officer,"teller_ops,branch_management,forex_ops",1.4,23.0,3,831.95,12.5
STF-00084,Digital & IT,IT Support Analyst,"data_analytics,cybersecurity,treasury_ops",Treasury & Markets,Markets Associate,"treasury_ops,data_analytics",8.2,12.0,4,923.28,12.5
STF-00085,Private & Wealth,Wealth Advisor,"sales_advisory,leadership,branch_management",Private & Wealth,Private Banker,"customer_service,sales_advisory,leadership,digital_banking",4.8,19.0,2,740.42,0.0
STF-00086,Compliance & Risk,Risk Analyst,"aml_compliance,leadership,credit_risk",Treasury & Markets,FX Dealer,"data_analytics,credit_risk,treasury_ops",2.3,17.0,3,705.1,7.5
STF-00087,Compliance & Risk,Compliance Officer,"aml_compliance,credit_risk,cybersecurity,leadership,sales_advisory",Treasury & Markets,Treasury Analyst,"credit_risk,data_analytics",4.8,21.0,3,641.53,2.4
STF-00088,Credit & Lending,Loan Officer,"data_analytics,loan_underwriting",Credit & Lending,Lending Manager,"loan_underwriting,data_analytics,credit_risk",5.8,19.0,2,493.2,6.1
STF-00089,Compliance & Risk,Risk Analyst,"aml_compliance,leadership",Digital & IT,Systems Administrator,"data_analytics,cybersecurity,digital_banking",6.1,23.0,2,1098.29,4.8
STF-00090,Compliance & Risk,Risk Analyst,"credit_risk,aml_compliance,data_analytics",Credit & Lending,Lending Manager,"data_analytics,aml_compliance",6.0,15.0,3,687.28,5.4
STF-00091,Compliance & Risk,Compliance Officer,"aml_compliance,cybersecurity,leadership,credit_risk,digital_banking",Credit & Lending,Credit Analyst,"aml_compliance,loan_underwriting",1.0,13.0,4,589.9,9.4
STF-00092,Treasury & Markets,Treasury Analyst,"forex_ops,credit_risk,treasury_ops,data_analytics",Treasury & Markets,FX Dealer,"data_analytics,treasury_ops",1.1,17.0,3,782.94,9.0
STF-00093,Compliance & Risk,AML Investigator,"leadership,aml_compliance,cybersecurity,sales_advisory",Credit & Lending,Lending Manager,"credit_risk,aml_compliance,loan_underwriting",1.4,8.0,3,782.93,0.8
STF-00094,Private & Wealth,Private Banker,"wealth_management,customer_service",Private & Wealth,Wealth Advisor,"sales_advisory,leadership,wealth_management,customer_service",6.0,10.0,3,789.48,6.6
STF-00095,Private & Wealth,Private Banker,"wealth_management,leadership,customer_service,sales_advisory",Treasury & Markets,Markets Associate,"forex_ops,data_analytics,credit_risk",14.6,11.0,3,918.7,11.2
STF-00096,Compliance & Risk,AML Investigator,"credit_risk,aml_compliance,leadership,cybersecurity,wealth_management",Compliance & Risk,Compliance Officer,"aml_compliance,cybersecurity,leadership,wealth_management",4.8,15.0,3,766.74,8.3
STF-00097,Credit & Lending,Credit Analyst,"loan_underwriting,credit_risk,wealth_management",Private & Wealth,Wealth Advisor,"leadership,wealth_management",2.5,17.0,2,685.95,4.9
STF-00098,Compliance & Risk,Compliance Officer,"aml_compliance,leadership,forex_ops",Retail Banking,Customer Service Rep,"sales_advisory,customer_service,branch_management",6.0,20.0,3,839.15,6.1
STF-00099,Compliance & Risk,Compliance Officer,"cybersecurity,aml_compliance",Compliance & Risk,Risk Analyst,"credit_risk,aml_compliance",5.2,18.0,4,997.37,8.5
STF-00100,Treasury & Markets,Markets Associate,"forex_ops,credit_risk,branch_management",Treasury & Markets,Treasury Analyst,"forex_ops,data_analytics,credit_risk,aml_compliance",9.9,19.0,3,753.99,7.8
STF-00101,Retail Banking,Branch Supervisor,"branch_management,sales_advisory",Retail Banking,Teller,"sales_advisory,branch_management,teller_ops",9.0,18.0,4,840.49,2.2
STF-00102,Treasury & Markets,FX Dealer,"data_analytics,treasury_ops,forex_ops",Treasury & Markets,Markets Associate,"treasury_ops,credit_risk,data_analytics",1.0,18.0,2,648.63,4.7
STF-00103,Treasury & Markets,FX Dealer,"credit_risk,treasury_ops,data_analytics,wealth_management",Treasury & Markets,Markets Associate,"treasury_ops,data_analytics,forex_ops,leadership",8.0,17.0,3,763.98,0.0
STF-00104,Credit & Lending,Underwriter,"credit_risk,loan_underwriting",Compliance & Risk,Compliance Officer,"leadership,aml_compliance",5.2,13.0,2,982.44,12.7
STF-00105,Compliance & Risk,Compliance Officer,"credit_risk,leadership,cybersecurity,aml_compliance,digital_banking",Compliance & Risk,AML Investigator,"cybersecurity,credit_risk",1.4,11.0,1,340.45,5.4
STF-00106,Retail Banking,Branch Supervisor,"branch_management,sales_advisory,customer_service",Retail Banking,Customer Service Rep,"sales_advisory,customer_service,teller_ops,data_analytics",3.9,15.0,3,646.67,2.3
STF-00107,Compliance & Risk,AML Investigator,"cybersecurity,credit_risk,leadership,digital_banking",Compliance & Risk,Risk Analyst,"credit_risk,leadership,aml_compliance",0.7,29.0,2,479.99,3.9
STF-00108,Retail Banking,Teller,"sales_advisory,branch_management,customer_service",Retail Banking,Branch Supervisor,"customer_service,teller_ops",2.0,14.0,3,872.63,6.8
STF-00109,Retail Banking,Teller,"teller_ops,sales_advisory,branch_management",Retail Banking,Teller,"sales_advisory,branch_management,teller_ops,aml_compliance",6.5,18.0,5,734.83,5.8
STF-00110,Retail Banking,Branch Supervisor,"sales_advisory,branch_management,customer_service,teller_ops",Compliance & Risk,AML Investigator,"cybersecurity,aml_compliance,credit_risk",11.6,19.0,3,786.05,2.3
STF-00111,Credit & Lending,Lending Manager,"loan_underwriting,data_analytics,aml_compliance,credit_risk",Credit & Lending,Underwriter,"credit_risk,data_analytics,branch_management",3.4,15.0,2,597.99,8.1
STF-00112,Compliance & Risk,Risk Analyst,"aml_compliance,cybersecurity,credit_risk,digital_banking",Compliance & Risk,AML Investigator,"leadership,aml_compliance,credit_risk",3.9,22.0,3,644.38,10.6
STF-00113,Retail Banking,Customer Service Rep,"customer_service,branch_management",Retail Banking,Branch Supervisor,"branch_management,teller_ops,sales_advisory,cybersecurity",2.5,23.0,3,747.71,5.7
STF-00114,Treasury & Markets,Treasury Analyst,"treasury_ops,credit_risk,cybersecurity",Treasury & Markets,Markets Associate,"forex_ops,data_analytics,treasury_ops,sales_advisory",2.8,11.0,4,672.99,2.3
STF-00115,Credit & Lending,Credit Analyst,"data_analytics,credit_risk,aml_compliance,loan_underwriting",Private & Wealth,Private Banker,"sales_advisory,wealth_management,leadership,loan_underwriting",9.3,14.0,2,987.06,0.6
STF-00116,Treasury & Markets,FX Dealer,"data_analytics,treasury_ops,credit_risk",Compliance & Risk,Risk Analyst,"leadership,cybersecurity,aml_compliance",7.6,13.0,3,682.36,3.7
STF-00117,Private & Wealth,Wealth Advisor,"leadership,wealth_management,sales_advisory,customer_service,aml_compliance",Private & Wealth,Wealth Advisor,"wealth_management,leadership,customer_service",6.1,22.0,3,909.14,3.9
STF-00118,Treasury & Markets,Markets Associate,"treasury_ops,credit_risk,forex_ops,data_analytics",Treasury & Markets,Treasury Analyst,"credit_risk,forex_ops,data_analytics,cybersecurity",6.7,16.0,4,966.14,6.5
STF-00119,Compliance & Risk,AML Investigator,"aml_compliance,cybersecurity,credit_risk,leadership",Treasury & Markets,Treasury Analyst,"forex_ops,credit_risk,wealth_management",1.5,13.0,3,678.2,8.5
STF-00120,Retail Banking,Teller,"customer_service,teller_ops,sales_advisory,branch_management,digital_banking",Retail Banking,Teller,"teller_ops,sales_advisory",4.3,10.0,4,704.75,0.0
STF-00121,Credit & Lending,Underwriter,"aml_compliance,loan_underwriting,credit_risk,data_analytics",Credit & Lending,Underwriter,"loan_underwriting,data_analytics,aml_compliance,it_support",8.1,23.0,5,566.38,0.2
STF-00122,Compliance & Risk,Risk Analyst,"cybersecurity,aml_compliance,leadership,credit_risk,customer_service",Compliance & Risk,Compliance Officer,"credit_risk,leadership,cybersecurity",4.1,15.0,4,536.12,0.0
STF-00123,Private & Wealth,Relationship Manager,"customer_service,sales_advisory,branch_management",Credit & Lending,Loan Officer,"data_analytics,credit_risk,aml_compliance,treasury_ops",7.4,20.0,2,970.84,14.8
STF-00124,Retail Banking,Teller,"customer_service,teller_ops,branch_management",Credit & Lending,Credit Analyst,"credit_risk,loan_underwriting,data_analytics,aml_compliance",3.3,21.0,3,799.55,9.7
STF-00125,Treasury & Markets,Markets Associate,"forex_ops,data_analytics,credit_risk,treasury_ops,sales_advisory",Treasury & Markets,Treasury Analyst,"forex_ops,data_analytics",3.6,17.0,2,874.16,6.5
STF-00126,Compliance & Risk,Risk Analyst,"credit_risk,aml_compliance,leadership,cybersecurity",Compliance & Risk,Risk Analyst,"leadership,cybersecurity,forex_ops",1.5,13.0,3,571.77,4.3
STF-00127,Private & Wealth,Wealth Advisor,"sales_advisory,wealth_management,customer_service,leadership",Private & Wealth,Relationship Manager,"customer_service,leadership,aml_compliance",11.2,18.0,5,916.29,5.4
STF-00128,Digital & IT,Systems Administrator,"digital_banking,data_analytics,it_support",Digital & IT,IT Support Analyst,"cybersecurity,data_analytics,it_support,wealth_management",6.8,17.0,3,883.47,0.0
STF-00129,Private & Wealth,Relationship Manager,"customer_service,leadership",Digital & IT,Systems Administrator,"data_analytics,cybersecurity,digital_banking,sales_advisory",1.3,19.0,2,553.77,7.0
STF-00130,Digital & IT,Digital Banking Officer,"digital_banking,data_analytics,cybersecurity,it_support",Private & Wealth,Wealth Advisor,"customer_service,leadership,wealth_management",2.9,18.0,2,752.95,7.9
STF-00131,Private & Wealth,Private Banker,"customer_service,leadership,sales_advisory",Private & Wealth,Relationship Manager,"customer_service,wealth_management,leadership",1.9,18.0,3,1088.06,1.0
STF-00132,Compliance & Risk,AML Investigator,"aml_compliance,credit_risk,leadership,cybersecurity",Digital & IT,Digital Banking Officer,"digital_banking,data_analytics,it_support",5.7,14.0,4,769.11,10.5
STF-00133,Retail Banking,Teller,"branch_management,teller_ops,customer_service,sales_advisory",Retail Banking,Branch Officer,"teller_ops,customer_service",4.4,20.0,4,905.71,2.5
STF-00134,Compliance & Risk,Compliance Officer,"credit_risk,aml_compliance,leadership,branch_management",Digital & IT,Digital Banking Officer,"it_support,cybersecurity,data_analytics,forex_ops",4.8,12.0,3,654.82,9.9
STF-00135,Treasury & Markets,FX Dealer,"data_analytics,treasury_ops,credit_risk,forex_ops",Compliance & Risk,Compliance Officer,"leadership,cybersecurity,aml_compliance,customer_service",2.8,22.0,3,527.09,2.9
STF-00136,Treasury & Markets,FX Dealer,"treasury_ops,forex_ops,data_analytics,credit_risk,it_support",Compliance & Risk,AML Investigator,"credit_risk,leadership",4.4,20.0,3,760.96,10.0
STF-00137,Compliance & Risk,Risk Analyst,"aml_compliance,cybersecurity,credit_risk",Compliance & Risk,Risk Analyst,"cybersecurity,leadership,aml_compliance,digital_banking",5.6,18.0,2,830.23,2.2
STF-00138,Digital & IT,Digital Banking Officer,"it_support,data_analytics,wealth_management",Digital & IT,IT Support Analyst,"data_analytics,it_support,cybersecurity",2.0,16.0,4,642.85,9.5
STF-00139,Treasury & Markets,FX Dealer,"forex_ops,data_analytics,treasury_ops,credit_risk",Treasury & Markets,Markets Associate,"credit_risk,data_analytics",11.6,21.0,2,950.64,6.8
STF-00140,Compliance & Risk,Compliance Officer,"credit_risk,aml_compliance",Compliance & Risk,Compliance Officer,"aml_compliance,credit_risk,cybersecurity",1.7,22.0,3,658.13,7.3
STF-00141,Private & Wealth,Relationship Manager,"leadership,customer_service,wealth_management,sales_advisory",Retail Banking,Branch Supervisor,"customer_service,branch_management,treasury_ops",4.6,19.0,3,778.62,4.8
STF-00142,Retail Banking,Branch Officer,"sales_advisory,branch_management,teller_ops,leadership",Retail Banking,Teller,"teller_ops,sales_advisory,customer_service",2.0,15.0,4,869.43,3.8
STF-00143,Treasury & Markets,Markets Associate,"treasury_ops,credit_risk,sales_advisory",Treasury & Markets,Markets Associate,"credit_risk,data_analytics,forex_ops,sales_advisory",9.6,20.0,2,1115.88,9.1
STF-00144,Private & Wealth,Private Banker,"leadership,sales_advisory,wealth_management,customer_service",Retail Banking,Branch Supervisor,"sales_advisory,branch_management,customer_service,credit_risk",5.3,18.0,3,884.39,13.1
